State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Florida,Broward,2025,91,56,35,0,0,93,45,0.6153846153846154,0.0
Florida,Citrus,2025,90,63,26,1,0,125,44,0.7,0.011111111111111112
Florida,Collier,2025,90,65,25,0,0,67,42,0.7222222222222222,0.0
Florida,Columbia,2025,90,46,44,0,0,77,50,0.5111111111111111,0.0
Florida,Duval,2025,91,36,54,1,0,117,52,0.3956043956043956,0.01098901098901099
Florida,Escambia,2025,90,59,30,1,0,104,44,0.6555555555555556,0.011111111111111112
Florida,Flagler,2025,90,87,3,0,0,54,38,0.9666666666666667,0.0
Florida,Hamilton,2025,83,55,28,0,0,67,44,0.6626506024096386,0.0
Florida,Highlands,2025,89,81,8,0,0,67,40,0.9101123595505618,0.0
Florida,Hillsborough,2025,91,38,53,0,0,87,52,0.4175824175824176,0.0
Florida,Holmes,2025,90,63,27,0,0,79,44,0.7,0.0
Florida,Indian River,2025,78,65,13,0,0,77,44,0.8333333333333334,0.0
Florida,Lake,2025,89,83,6,0,0,64,38,0.9325842696629213,0.0
Florida,Lee,2025,90,57,33,0,0,84,46,0.6333333333333333,0.0
Florida,Leon,2025,90,44,45,1,0,140,51,0.4888888888888889,0.011111111111111112
Florida,Liberty,2025,97,92,5,0,0,77,38,0.9484536082474226,0.0
Florida,Manatee,2025,90,80,10,0,0,80,40,0.8888888888888888,0.0
Florida,Marion,2025,90,51,39,0,0,74,49,0.5666666666666667,0.0
Florida,Martin,2025,90,68,22,0,0,74,43,0.7555555555555555,0.0
Florida,Miami-Dade,2025,91,42,49,0,0,97,51,0.46153846153846156,0.0
Florida,Okaloosa,2025,90,86,4,0,0,61,39,0.9555555555555556,0.0
Florida,Orange,2025,91,60,30,1,0,105,46,0.6593406593406593,0.01098901098901099
Florida,Osceola,2025,90,72,18,0,0,98,42,0.8,0.0
Florida,Palm Beach,2025,90,61,29,0,0,87,44,0.6777777777777778,0.0
Florida,Pasco,2025,90,83,7,0,0,74,40,0.9222222222222223,0.0
Florida,Pinellas,2025,91,55,36,0,0,87,47,0.6043956043956044,0.0
Florida,Polk,2025,90,85,5,0,0,84,36,0.9444444444444444,0.0
Florida,Putnam,2025,90,89,1,0,0,61,22,0.9888888888888889,0.0
Florida,Santa Rosa,2025,90,63,27,0,0,72,44,0.7,0.0
Florida,Sarasota,2025,90,53,37,0,0,77,48,0.5888888888888889,0.0
Florida,Seminole,2025,90,69,21,0,0,80,42,0.7666666666666667,0.0
Florida,St. Lucie,2025,90,84,6,0,0,67,39,0.9333333333333333,0.0
Florida,Volusia,2025,90,60,30,0,0,71,44,0.6666666666666666,0.0
Florida,Wakulla,2025,91,69,22,0,0,64,43,0.7582417582417582,0.0
Georgia,Bibb,2025,151,63,87,1,0,119,53,0.41721854304635764,0.006622516556291391
Georgia,Chatham,2025,151,91,60,0,0,90,47,0.6026490066225165,0.0
Georgia,Clarke,2025,151,87,64,0,0,89,48,0.5761589403973509,0.0
Georgia,Clayton,2025,39,20,19,0,0,64,49,0.5128205128205128,0.0
Georgia,Cobb,2025,95,88,7,0,0,74,35,0.9263157894736842,0.0
Georgia,Coffee,2025,151,101,50,0,0,78,44,0.6688741721854304,0.0
Georgia,Dawson,2025,92,80,12,0,0,97,41,0.8695652173913043,0.0
Georgia,Dekalb,2025,152,87,65,0,0,73,47,0.5723684210526315,0.0
Georgia,Dougherty,2025,151,66,84,1,0,115,52,0.4370860927152318,0.006622516556291391
Georgia,Floyd,2025,150,112,38,0,0,78,34,0.7466666666666667,0.0
Georgia,Fulton,2025,152,83,69,0,0,84,49,0.5460526315789473,0.0
Georgia,Glynn,2025,164,127,37,0,0,94,41,0.774390243902439,0.0
Georgia,Gwinnett,2025,181,115,66,0,0,84,45,0.6353591160220995,0.0
Georgia,Hall,2025,151,84,67,0,0,81,46,0.5562913907284768,0.0
